query_id,Top10_77,best_rank_77,Top10_82,best_rank_82,Top10_score_blend,best_rank_score_blend
24b878fb46b21c4f,1,2,1,6,1,3
d6586b7eb746d371,1,3,1,3,1,3
b5bfcde99223413a,1,9,0,11,0,14
521e43214ec9c68d,1,4,1,4,1,7
ae173f69d0e7df3d,1,3,1,7,1,1
c55d95bc75b1518f,1,5,1,3,1,4
d6483a6fc83e7982,1,1,1,1,1,1
318de65745102d97,1,2,1,2,1,2
1a18f6cea23ac3d0,1,9,1,9,1,9
141dbc6631a12164,0,11,0,12,0,18
738f92684d1d960f,1,5,0,11,1,3
f33254e752d78ef3,1,2,1,2,1,2
640280e35da44928,0,15,0,13,0,21
10f7e63e4596d965,0,11,0,11,1,2
90967ab81df9cee4,1,2,1,2,1,3
06cc566f8502792e,0,13,0,11,0,11
3d45ec3e71c04332,1,1,1,5,1,1
ae25a9e2e869581f,1,3,1,2,1,1
56ce9ac3e3c9d15b,1,5,0,16,1,1
e54a22e9548fc1c4,1,4,1,10,1,1
f2aa22b127d46dd8,1,3,1,5,1,8
2b082ead0e77a2f6,1,3,1,2,1,1
c48a1ac6653f3ff0,1,1,1,1,1,1
1bdaf6d21399aa8b,1,1,1,1,1,1
a5beaa86c839f4be,1,2,1,2,1,2
94e2a3087915e1ba,1,2,1,2,1,2
7d76f66a4251af14,1,4,1,4,1,2
d0dfeea6270032a7,1,6,1,5,1,10
8284639d561d8a18,0,15,0,13,0,13
960664cd95e2e2ba,1,2,1,2,1,2
